seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS
138,5,6801,1e-06,3,3.25485131075792e-08,0.000157629630671052,8.40741847535785e-05,1,0,0,1.07728876601365
138,5,6801,1e-06,10.2,3.57453392063879e-06,0.00184386161220793,0.000801581202199402,1,0,0,1.07728876601365
138,5,6801,1e-06,30,0.000331735740495881,0.019076911695927,0.0121645920110148,1,0,0,1.07728876601365
138,5,6801,1e-06,60,0.00533787518110565,0.0976219729456215,0.0840083161455725,1,0,0,1.07728876601365
138,5,6801,1e-06,120,0.0808602403861058,0.581713358954462,0.622782900887812,1,0,0,1.07728876601365
138,5,6801,0.0001,3,9.47264706785922e-05,0.000157629630671052,0.00201027975025284,1,0,0,1.0265048807245
138,5,6801,0.0001,10.2,0.00102387416012888,0.00184386161220793,0.0457343308175817,1,0,0,1.0265048807245
138,5,6801,0.0001,30,0.0109929752283531,0.019076911695927,0.984502341602683,1,0,0,1.0265048807245
138,5,6801,0.0001,60,0.0601919998199809,0.0976219729456215,7.53294378013383,1,1,0,1.0265048807245
138,5,6801,0.0001,120,0.394297649171039,0.581713358954462,58.9217748425493,1,1,0,1.0265048807245
138,5,7601,1e-08,3,6.63342302862583e-06,0.000150006643397759,9.78388820305474e-06,1,0,0,1.13346416751757
138,5,7601,1e-08,10.2,4.27914154248393e-05,0.00118691961676671,3.0701926526387e-05,1,0,0,1.13346416751757
138,5,7601,1e-08,30,0.000608653119042135,0.00779506840052969,0.00022036857811208,1,0,0,1.13346416751757
138,5,7601,1e-08,60,0.0044186446180747,0.0241893191135831,0.001160888145643,1,0,0,1.13346416751757
138,5,7601,1e-08,120,0.0433847185974187,0.0537289154944943,0.00737909542410409,0,0,0,1.13346416751757
138,5,7601,1e-06,3,6.01053798947919e-07,0.000150006643397759,8.40741847535785e-05,1,0,0,1.09316209899889
138,5,7601,1e-06,10.2,2.5551399075961e-08,0.00118691961676671,0.000801581202199402,1,0,0,1.09316209899889
138,5,7601,1e-06,30,7.66594843553592e-05,0.00779506840052969,0.0121645920110148,1,0,0,1.09316209899889
138,5,7601,1e-06,60,0.00133933562506346,0.0241893191135831,0.0840083161455725,1,0,0,1.09316209899889
138,5,7601,1e-06,120,0.0226480959956295,0.0537289154944943,0.622782900887812,1,0,0,1.09316209899889
138,5,7601,0.0001,3,9.45055590736468e-05,0.000150006643397759,0.00201027975025284,1,0,0,1.01345145699949
138,5,7601,0.0001,10.2,0.000629808947888231,0.00118691961676671,0.0457343308175817,1,0,0,1.01345145699949
138,5,7601,0.0001,30,0.00361840488816104,0.00779506840052969,0.984502341602683,1,0,0,1.01345145699949
138,5,7601,0.0001,60,0.00978850887703113,0.0241893191135831,7.53294378013383,1,1,0,1.01345145699949
138,5,7601,0.0001,120,0.0139928087022836,0.0537289154944943,58.9217748425493,1,1,0,1.01345145699949
138,6,6001,1e-08,3,6.25213010544043e-05,2.57430897068017e-05,9.78388820305474e-06,0,0,0,0.814344065875167
138,6,6001,1e-08,10.2,0.00037327702314247,0.000505959872534158,3.0701926526387e-05,0,0,0,0.814344065875167
138,6,6001,1e-08,30,0.00430413817785954,0.00308014907113898,0.00022036857811208,0,0,0,0.814344065875167
138,6,6001,1e-08,60,0.0266838165876016,0.00606704224575941,0.001160888145643,0,0,0,0.814344065875167
138,6,6001,1e-08,120,0.175970490681938,0.0038478084832239,0.00737909542410409,0,0,0,0.814344065875167
138,6,6001,1e-06,3,1.6462340123993e-06,2.57430897068017e-05,8.40741847535785e-05,1,0,0,0.743907468086591
138,6,6001,1e-06,10.2,5.35546140824497e-05,0.000505959872534158,0.000801581202199402,1,0,0,0.743907468086591
138,6,6001,1e-06,30,0.00150647626032867,0.00308014907113898,0.0121645920110148,1,0,0,0.743907468086591
138,6,6001,1e-06,60,0.0130301515928562,0.00606704224575941,0.0840083161455725,1,0,0,0.743907468086591
138,6,6001,1e-06,120,0.105928858866232,0.0038478084832239,0.622782900887812,1,0,0,0.743907468086591
138,6,6001,0.0001,3,7.73676206906326e-07,2.57430897068017e-05,0.00201027975025284,1,0,0,0.677787895230481
138,6,6001,0.0001,10.2,4.91707307940573e-05,0.000505959872534158,0.0457343308175817,1,0,0,0.677787895230481
138,6,6001,0.0001,30,0.00150355476199656,0.00308014907113898,0.984502341602683,1,0,0,0.677787895230481
138,6,6001,0.0001,60,0.0131144860019463,0.00606704224575941,7.53294378013383,1,1,0,0.677787895230481
138,6,6001,0.0001,120,0.106699482436396,0.0038478084832239,58.9217748425493,1,1,0,0.677787895230481
138,6,6801,1e-08,3,1.07599388801567e-06,3.42864825650222e-05,9.78388820305474e-06,1,0,0,1.05688213482247
138,6,6801,1e-08,10.2,1.12667255480219e-06,4.21407305452867e-05,3.0701926526387e-05,1,0,0,1.05688213482247
138,6,6801,1e-08,30,3.29693960434151e-06,0.00169199658198185,0.00022036857811208,1,0,0,1.05688213482247
138,6,6801,1e-08,60,0.000193662449799095,0.00589015166161239,0.001160888145643,1,0,0,1.05688213482247
138,6,6801,1e-08,120,0.00167751828697008,0.0232248372478409,0.00737909542410409,1,0,0,1.05688213482247
138,6,6801,1e-06,3,7.24117444193258e-05,3.42864825650222e-05,8.40741847535785e-05,1,0,0,1.00878388147747
